Date,Year,Expenditure in Billions,Features
1/1/2000,2000,24.92,Infectious and parasitic diseases
1/1/2001,2001,66.61,Neoplasms
1/1/2002,2002,71.56,Neoplasms
1/1/2003,2003,76.39,Neoplasms
1/1/2004,2004,84.34,Neoplasms
1/1/2005,2005,88.67,Neoplasms
1/1/2006,2006,95.61,Neoplasms
1/1/2007,2007,100.35,Neoplasms
1/1/2008,2008,103.75,Neoplasms
1/1/2009,2009,108.65,Neoplasms
1/1/2010,2010,111.81,Neoplasms
1/1/2011,2011,116.87,Neoplasms
1/1/2012,2012,121.7,Neoplasms
1/1/2013,2013,122.43,Neoplasms
1/1/2014,2014,129.36,Neoplasms
1/1/2015,2015*,138.12,Neoplasms
1/1/2016,2016*,138.15,Neoplasms
1/1/2017,2017*,145.4,Neoplasms
1/1/2018,2018*,155.86,Neoplasms
1/1/2019,2019*,169.58,Neoplasms
1/1/2000,2000,60.79,Neoplasms
1/1/2001,2001,58.25,Endocrine; nutritional; and metabolic diseases and immunity disorders
1/1/2002,2002,67.43,Endocrine; nutritional; and metabolic diseases and immunity disorders
1/1/2003,2003,72.31,Endocrine; nutritional; and metabolic diseases and immunity disorders
1/1/2004,2004,80.56,Endocrine; nutritional; and metabolic diseases and immunity disorders
1/1/2005,2005,86.67,Endocrine; nutritional; and metabolic diseases and immunity disorders
1/1/2006,2006,94.44,Endocrine; nutritional; and metabolic diseases and immunity disorders
1/1/2007,2007,101.24,Endocrine; nutritional; and metabolic diseases and immunity disorders
1/1/2008,2008,106.72,Endocrine; nutritional; and metabolic diseases and immunity disorders
1/1/2009,2009,112.15,Endocrine; nutritional; and metabolic diseases and immunity disorders
1/1/2010,2010,116.6,Endocrine; nutritional; and metabolic diseases and immunity disorders
1/1/2011,2011,122.44,Endocrine; nutritional; and metabolic diseases and immunity disorders
1/1/2012,2012,127.5,Endocrine; nutritional; and metabolic diseases and immunity disorders
1/1/2013,2013,129.14,Endocrine; nutritional; and metabolic diseases and immunity disorders
1/1/2014,2014,139.28,Endocrine; nutritional; and metabolic diseases and immunity disorders
1/1/2015,2015*,147.59,Endocrine; nutritional; and metabolic diseases and immunity disorders
1/1/2016,2016*,154.09,Endocrine; nutritional; and metabolic diseases and immunity disorders
1/1/2017,2017*,160.79,Endocrine; nutritional; and metabolic diseases and immunity disorders
1/1/2018,2018*,170.36,Endocrine; nutritional; and metabolic diseases and immunity disorders
1/1/2019,2019*,182.25,Endocrine; nutritional; and metabolic diseases and immunity disorders
1/1/2000,2000,49.91,Endocrine; nutritional; and metabolic diseases and immunity disorders
1/1/2001,2001,43.08,Mental illness
1/1/2002,2002,46.69,Mental illness
1/1/2003,2003,49.42,Mental illness
1/1/2004,2004,51.49,Mental illness
1/1/2005,2005,55.3,Mental illness
1/1/2006,2006,59.32,Mental illness
1/1/2007,2007,64.28,Mental illness
1/1/2008,2008,67.75,Mental illness
1/1/2009,2009,71.13,Mental illness
1/1/2010,2010,74.21,Mental illness
1/1/2011,2011,77.61,Mental illness
1/1/2012,2012,81.12,Mental illness
1/1/2013,2013,85.02,Mental illness
1/1/2014,2014,94.85,Mental illness
1/1/2015,2015*,103.88,Mental illness
1/1/2016,2016*,103.96,Mental illness
1/1/2017,2017*,114.51,Mental illness
1/1/2018,2018*,122.02,Mental illness
1/1/2019,2019*,134.56,Mental illness
1/1/2000,2000,41.08,Mental illness
1/1/2001,2001,69.99,Diseases of the nervous system and sense organs
1/1/2002,2002,77.01,Diseases of the nervous system and sense organs
1/1/2003,2003,80.86,Diseases of the nervous system and sense organs
1/1/2004,2004,85.2,Diseases of the nervous system and sense organs
1/1/2005,2005,89.8,Diseases of the nervous system and sense organs
1/1/2006,2006,95.83,Diseases of the nervous system and sense organs
1/1/2007,2007,103.65,Diseases of the nervous system and sense organs
1/1/2008,2008,109.37,Diseases of the nervous system and sense organs
1/1/2009,2009,115.18,Diseases of the nervous system and sense organs
1/1/2010,2010,120.96,Diseases of the nervous system and sense organs
1/1/2011,2011,126.81,Diseases of the nervous system and sense organs
1/1/2012,2012,133.23,Diseases of the nervous system and sense organs
1/1/2013,2013,139.04,Diseases of the nervous system and sense organs
1/1/2014,2014,149.3,Diseases of the nervous system and sense organs
1/1/2015,2015*,160.72,Diseases of the nervous system and sense organs
1/1/2016,2016*,178.13,Diseases of the nervous system and sense organs
1/1/2017,2017*,186.96,Diseases of the nervous system and sense organs
1/1/2018,2018*,196.25,Diseases of the nervous system and sense organs
1/1/2019,2019*,207.31,Diseases of the nervous system and sense organs
1/1/2000,2000,63.93,Diseases of the nervous system and sense organs
1/1/2001,2001,157.9,Diseases of the circulatory system
1/1/2002,2002,169.01,Diseases of the circulatory system
1/1/2003,2003,178.84,Diseases of the circulatory system
1/1/2004,2004,192.43,Diseases of the circulatory system
1/1/2005,2005,199.3,Diseases of the circulatory system
1/1/2006,2006,208.46,Diseases of the circulatory system
1/1/2007,2007,213.76,Diseases of the circulatory system
1/1/2008,2008,219.86,Diseases of the circulatory system
1/1/2009,2009,228.83,Diseases of the circulatory system
1/1/2010,2010,233.6,Diseases of the circulatory system
1/1/2011,2011,232.08,Diseases of the circulatory system
1/1/2012,2012,231.75,Diseases of the circulatory system
1/1/2013,2013,233.01,Diseases of the circulatory system
1/1/2014,2014,241.21,Diseases of the circulatory system
1/1/2015,2015*,255.08,Diseases of the circulatory system
1/1/2016,2016*,254.19,Diseases of the circulatory system
1/1/2017,2017*,260.53,Diseases of the circulatory system
1/1/2018,2018*,272.77,Diseases of the circulatory system
1/1/2019,2019*,291.36,Diseases of the circulatory system
1/1/2000,2000,145.95,Diseases of the circulatory system
1/1/2001,2001,99.39,Diseases of the respiratory system
1/1/2002,2002,105.74,Diseases of the respiratory system
1/1/2003,2003,113.78,Diseases of the respiratory system
1/1/2004,2004,114.25,Diseases of the respiratory system
1/1/2005,2005,127.22,Diseases of the respiratory system
1/1/2006,2006,128.23,Diseases of the respiratory system
1/1/2007,2007,133.92,Diseases of the respiratory system
1/1/2008,2008,141.5,Diseases of the respiratory system
1/1/2009,2009,145.26,Diseases of the respiratory system
1/1/2010,2010,144.67,Diseases of the respiratory system
1/1/2011,2011,150.25,Diseases of the respiratory system
1/1/2012,2012,153.24,Diseases of the respiratory system
1/1/2013,2013,156.12,Diseases of the respiratory system
1/1/2014,2014,159.53,Diseases of the respiratory system
1/1/2015,2015*,166.58,Diseases of the respiratory system
1/1/2016,2016*,173.01,Diseases of the respiratory system
1/1/2017,2017*,180.66,Diseases of the respiratory system
1/1/2018,2018*,185.77,Diseases of the respiratory system
1/1/2019,2019*,192.81,Diseases of the respiratory system
1/1/2000,2000,92.46,Diseases of the respiratory system
1/1/2001,2001,61.46,Diseases of the digestive system
1/1/2002,2002,66.05,Diseases of the digestive system
1/1/2003,2003,69.88,Diseases of the digestive system
1/1/2004,2004,74.43,Diseases of the digestive system
1/1/2005,2005,76.78,Diseases of the digestive system
1/1/2006,2006,82.04,Diseases of the digestive system
1/1/2007,2007,85.51,Diseases of the digestive system
1/1/2008,2008,87.27,Diseases of the digestive system
1/1/2009,2009,91.51,Diseases of the digestive system
1/1/2010,2010,94.59,Diseases of the digestive system
1/1/2011,2011,96.1,Diseases of the digestive system
1/1/2012,2012,99.61,Diseases of the digestive system
1/1/2013,2013,102.66,Diseases of the digestive system
1/1/2014,2014,107.49,Diseases of the digestive system
1/1/2015,2015*,113.53,Diseases of the digestive system
1/1/2016,2016*,122.8,Diseases of the digestive system
1/1/2017,2017*,126.54,Diseases of the digestive system
1/1/2018,2018*,132.73,Diseases of the digestive system
1/1/2019,2019*,138.91,Diseases of the digestive system
1/1/2000,2000,57.21,Diseases of the digestive system
1/1/2001,2001,62.49,Diseases of the genitourinary system
1/1/2002,2002,66.72,Diseases of the genitourinary system
1/1/2003,2003,72.1,Diseases of the genitourinary system
1/1/2004,2004,80.44,Diseases of the genitourinary system
1/1/2005,2005,85.43,Diseases of the genitourinary system
1/1/2006,2006,91.48,Diseases of the genitourinary system
1/1/2007,2007,96.84,Diseases of the genitourinary system
1/1/2008,2008,99.85,Diseases of the genitourinary system
1/1/2009,2009,104.77,Diseases of the genitourinary system
1/1/2010,2010,106.74,Diseases of the genitourinary system
1/1/2011,2011,109.7,Diseases of the genitourinary system
1/1/2012,2012,113.68,Diseases of the genitourinary system
1/1/2013,2013,116.34,Diseases of the genitourinary system
1/1/2014,2014,121.53,Diseases of the genitourinary system
1/1/2015,2015*,125.46,Diseases of the genitourinary system
1/1/2016,2016*,119.08,Diseases of the genitourinary system
1/1/2017,2017*,120.99,Diseases of the genitourinary system
1/1/2018,2018*,126.27,Diseases of the genitourinary system
1/1/2019,2019*,132.29,Diseases of the genitourinary system
1/1/2000,2000,58.31,Diseases of the genitourinary system
1/1/2001,2001,24.39,Complications of pregnancy; childbirth; and the puerperium
1/1/2002,2002,24.85,Complications of pregnancy; childbirth; and the puerperium
1/1/2003,2003,27.54,Complications of pregnancy; childbirth; and the puerperium
1/1/2004,2004,28.99,Complications of pregnancy; childbirth; and the puerperium
1/1/2005,2005,29.57,Complications of pregnancy; childbirth; and the puerperium
1/1/2006,2006,31.98,Complications of pregnancy; childbirth; and the puerperium
1/1/2007,2007,33.29,Complications of pregnancy; childbirth; and the puerperium
1/1/2008,2008,34.74,Complications of pregnancy; childbirth; and the puerperium
1/1/2009,2009,35.73,Complications of pregnancy; childbirth; and the puerperium
1/1/2010,2010,38.32,Complications of pregnancy; childbirth; and the puerperium
1/1/2011,2011,39.13,Complications of pregnancy; childbirth; and the puerperium
1/1/2012,2012,43.43,Complications of pregnancy; childbirth; and the puerperium
1/1/2013,2013,44.34,Complications of pregnancy; childbirth; and the puerperium
1/1/2014,2014,44.9,Complications of pregnancy; childbirth; and the puerperium
1/1/2015,2015*,46.32,Complications of pregnancy; childbirth; and the puerperium
1/1/2016,2016*,51.64,Complications of pregnancy; childbirth; and the puerperium
1/1/2017,2017*,52.53,Complications of pregnancy; childbirth; and the puerperium
1/1/2018,2018*,54.82,Complications of pregnancy; childbirth; and the puerperium
1/1/2019,2019*,54.11,Complications of pregnancy; childbirth; and the puerperium
1/1/2000,2000,24.72,Complications of pregnancy; childbirth; and the puerperium
1/1/2001,2001,24.23,Diseases of the skin and subcutaneous organs
1/1/2002,2002,26.76,Diseases of the skin and subcutaneous organs
1/1/2003,2003,27.9,Diseases of the skin and subcutaneous organs
1/1/2004,2004,29.54,Diseases of the skin and subcutaneous organs
1/1/2005,2005,31.43,Diseases of the skin and subcutaneous organs
1/1/2006,2006,33.18,Diseases of the skin and subcutaneous organs
1/1/2007,2007,35.36,Diseases of the skin and subcutaneous organs
1/1/2008,2008,37.86,Diseases of the skin and subcutaneous organs
1/1/2009,2009,40.08,Diseases of the skin and subcutaneous organs
1/1/2010,2010,41.96,Diseases of the skin and subcutaneous organs
1/1/2011,2011,43.26,Diseases of the skin and subcutaneous organs
1/1/2012,2012,45.23,Diseases of the skin and subcutaneous organs
1/1/2013,2013,47.07,Diseases of the skin and subcutaneous organs
1/1/2014,2014,50.94,Diseases of the skin and subcutaneous organs
1/1/2015,2015*,54.45,Diseases of the skin and subcutaneous organs
1/1/2016,2016*,59.57,Diseases of the skin and subcutaneous organs
1/1/2017,2017*,61.75,Diseases of the skin and subcutaneous organs
1/1/2018,2018*,64.43,Diseases of the skin and subcutaneous organs
1/1/2019,2019*,67.99,Diseases of the skin and subcutaneous organs
1/1/2000,2000,22.25,Diseases of the skin and subcutaneous organs
1/1/2001,2001,87.59,Diseases of the musculoskeletal system and connective tissue
1/1/2002,2002,98.23,Diseases of the musculoskeletal system and connective tissue
1/1/2003,2003,107.07,Diseases of the musculoskeletal system and connective tissue
1/1/2004,2004,116.91,Diseases of the musculoskeletal system and connective tissue
1/1/2005,2005,125.23,Diseases of the musculoskeletal system and connective tissue
1/1/2006,2006,133.97,Diseases of the musculoskeletal system and connective tissue
1/1/2007,2007,141.62,Diseases of the musculoskeletal system and connective tissue
1/1/2008,2008,149.93,Diseases of the musculoskeletal system and connective tissue
1/1/2009,2009,158.43,Diseases of the musculoskeletal system and connective tissue
1/1/2010,2010,169.86,Diseases of the musculoskeletal system and connective tissue
1/1/2011,2011,174.77,Diseases of the musculoskeletal system and connective tissue
1/1/2012,2012,182.8,Diseases of the musculoskeletal system and connective tissue
1/1/2013,2013,189.14,Diseases of the musculoskeletal system and connective tissue
1/1/2014,2014,199.27,Diseases of the musculoskeletal system and connective tissue
1/1/2015,2015*,213.33,Diseases of the musculoskeletal system and connective tissue
1/1/2016,2016*,228.69,Diseases of the musculoskeletal system and connective tissue
1/1/2017,2017*,236.11,Diseases of the musculoskeletal system and connective tissue
1/1/2018,2018*,244.14,Diseases of the musculoskeletal system and connective tissue
1/1/2019,2019*,252.72,Diseases of the musculoskeletal system and connective tissue
1/1/2000,2000,76.53,Diseases of the musculoskeletal system and connective tissue
1/1/2001,2001,72.94,Injury and poisoning
1/1/2002,2002,76.37,Injury and poisoning
1/1/2003,2003,81.46,Injury and poisoning
1/1/2004,2004,84.8,Injury and poisoning
1/1/2005,2005,88.79,Injury and poisoning
1/1/2006,2006,93.72,Injury and poisoning
1/1/2007,2007,99.09,Injury and poisoning
1/1/2008,2008,102.58,Injury and poisoning
1/1/2009,2009,107.33,Injury and poisoning
1/1/2010,2010,112.41,Injury and poisoning
1/1/2011,2011,115.67,Injury and poisoning
1/1/2012,2012,118.2,Injury and poisoning
1/1/2013,2013,121.49,Injury and poisoning
1/1/2014,2014,127.21,Injury and poisoning
1/1/2015,2015*,133.06,Injury and poisoning
1/1/2016,2016*,136.19,Injury and poisoning
1/1/2017,2017*,139.36,Injury and poisoning
1/1/2018,2018*,143.07,Injury and poisoning
1/1/2019,2019*,151.15,Injury and poisoning
1/1/2000,2000,66.43,Injury and poisoning
1/1/2001,2001,96.04,Symptoms; signs; and ill-defined conditions
1/1/2002,2002,111.77,Symptoms; signs; and ill-defined conditions
1/1/2003,2003,123.39,Symptoms; signs; and ill-defined conditions
1/1/2004,2004,140.69,Symptoms; signs; and ill-defined conditions
1/1/2005,2005,149.8,Symptoms; signs; and ill-defined conditions
1/1/2006,2006,162.29,Symptoms; signs; and ill-defined conditions
1/1/2007,2007,177.47,Symptoms; signs; and ill-defined conditions
1/1/2008,2008,186.89,Symptoms; signs; and ill-defined conditions
1/1/2009,2009,201.87,Symptoms; signs; and ill-defined conditions
1/1/2010,2010,212.78,Symptoms; signs; and ill-defined conditions
1/1/2011,2011,228.1,Symptoms; signs; and ill-defined conditions
1/1/2012,2012,240.5,Symptoms; signs; and ill-defined conditions
1/1/2013,2013,249.87,Symptoms; signs; and ill-defined conditions
1/1/2014,2014,264.48,Symptoms; signs; and ill-defined conditions
1/1/2015,2015*,290.39,Symptoms; signs; and ill-defined conditions
1/1/2016,2016*,319.04,Symptoms; signs; and ill-defined conditions
1/1/2017,2017*,338.2,Symptoms; signs; and ill-defined conditions
1/1/2018,2018*,350.47,Symptoms; signs; and ill-defined conditions
1/1/2019,2019*,365.85,Symptoms; signs; and ill-defined conditions
1/1/2000,2000,83.7,Symptoms; signs; and ill-defined conditions
1/1/2001,2001,36.11,Other
1/1/2002,2002,40.36,Other
1/1/2003,2003,43.83,Other
1/1/2004,2004,47.92,Other
1/1/2005,2005,50.84,Other
1/1/2006,2006,55.03,Other
1/1/2007,2007,59.53,Other
1/1/2008,2008,62.61,Other
1/1/2009,2009,66.7,Other
1/1/2010,2010,69.07,Other
1/1/2011,2011,74.46,Other
1/1/2012,2012,77.55,Other
1/1/2013,2013,78.89,Other
1/1/2014,2014,82.55,Other
1/1/2015,2015*,86.39,Other
1/1/2016,2016*,93.74,Other
1/1/2017,2017*,95.06,Other
1/1/2018,2018*,98.07,Other
1/1/2019,2019*,103.26,Other
1/1/2000,2000,32.57,Other
1/1/2001,2001,10.86,Diseases of the blood and blood-forming organs
1/1/2002,2002,12.44,Diseases of the blood and blood-forming organs
1/1/2003,2003,14.31,Diseases of the blood and blood-forming organs
1/1/2004,2004,15.37,Diseases of the blood and blood-forming organs
1/1/2005,2005,16.28,Diseases of the blood and blood-forming organs
1/1/2006,2006,17.38,Diseases of the blood and blood-forming organs
1/1/2007,2007,18.18,Diseases of the blood and blood-forming organs
1/1/2008,2008,18.27,Diseases of the blood and blood-forming organs
1/1/2009,2009,19.4,Diseases of the blood and blood-forming organs
1/1/2010,2010,20.23,Diseases of the blood and blood-forming organs
1/1/2011,2011,22.55,Diseases of the blood and blood-forming organs
1/1/2012,2012,23.33,Diseases of the blood and blood-forming organs
1/1/2013,2013,23.27,Diseases of the blood and blood-forming organs
1/1/2014,2014,23.99,Diseases of the blood and blood-forming organs
1/1/2015,2015*,24.83,Diseases of the blood and blood-forming organs
1/1/2016,2016*,24.7,Diseases of the blood and blood-forming organs
1/1/2017,2017*,25.53,Diseases of the blood and blood-forming organs
1/1/2018,2018*,26.3,Diseases of the blood and blood-forming organs
1/1/2019,2019*,28.09,Diseases of the blood and blood-forming organs
1/1/2000,2000,9.36,Diseases of the blood and blood-forming organs
1/1/2001,2001,4.85,Congenital anomalies
1/1/2002,2002,5.08,Congenital anomalies
1/1/2003,2003,5.44,Congenital anomalies
1/1/2004,2004,5.68,Congenital anomalies
1/1/2005,2005,5.8,Congenital anomalies
1/1/2006,2006,6.01,Congenital anomalies
1/1/2007,2007,6.39,Congenital anomalies
1/1/2008,2008,7.12,Congenital anomalies
1/1/2009,2009,7.43,Congenital anomalies
1/1/2010,2010,7.66,Congenital anomalies
1/1/2011,2011,7.85,Congenital anomalies
1/1/2012,2012,7.91,Congenital anomalies
1/1/2013,2013,8.12,Congenital anomalies
1/1/2014,2014,8.23,Congenital anomalies
1/1/2015,2015*,8.4,Congenital anomalies
1/1/2016,2016*,8.47,Congenital anomalies
1/1/2017,2017*,7.72,Congenital anomalies
1/1/2018,2018*,8.33,Congenital anomalies
1/1/2019,2019*,8.61,Congenital anomalies
1/1/2000,2000,4.72,Congenital anomalies
1/1/2001,2001,5.08,Certain conditions originating in the perinatal period
1/1/2002,2002,5.01,Certain conditions originating in the perinatal period
1/1/2003,2003,5.42,Certain conditions originating in the perinatal period
1/1/2004,2004,6.07,Certain conditions originating in the perinatal period
1/1/2005,2005,5.85,Certain conditions originating in the perinatal period
1/1/2006,2006,5.7,Certain conditions originating in the perinatal period
1/1/2007,2007,6.06,Certain conditions originating in the perinatal period
1/1/2008,2008,6.77,Certain conditions originating in the perinatal period
1/1/2009,2009,7.34,Certain conditions originating in the perinatal period
1/1/2010,2010,6.85,Certain conditions originating in the perinatal period
1/1/2011,2011,7.58,Certain conditions originating in the perinatal period
1/1/2012,2012,7.67,Certain conditions originating in the perinatal period
1/1/2013,2013,8.38,Certain conditions originating in the perinatal period
1/1/2014,2014,8.49,Certain conditions originating in the perinatal period
1/1/2015,2015*,7.85,Certain conditions originating in the perinatal period
1/1/2016,2016*,10.52,Certain conditions originating in the perinatal period
1/1/2017,2017*,11.98,Certain conditions originating in the perinatal period
1/1/2018,2018*,11.89,Certain conditions originating in the perinatal period
1/1/2019,2019*,11.58,Certain conditions originating in the perinatal period
1/1/2000,2000,4.87,Certain conditions originating in the perinatal period
1/1/2001,2001,15.33,Residual codes; unclassified; all E codes
1/1/2002,2002,17.83,Residual codes; unclassified; all E codes
1/1/2003,2003,18.66,Residual codes; unclassified; all E codes
1/1/2004,2004,20.81,Residual codes; unclassified; all E codes
1/1/2005,2005,22.9,Residual codes; unclassified; all E codes
1/1/2006,2006,25.95,Residual codes; unclassified; all E codes
1/1/2007,2007,28.9,Residual codes; unclassified; all E codes
1/1/2008,2008,30.45,Residual codes; unclassified; all E codes
1/1/2009,2009,32.53,Residual codes; unclassified; all E codes
1/1/2010,2010,34.32,Residual codes; unclassified; all E codes
1/1/2011,2011,36.47,Residual codes; unclassified; all E codes
1/1/2012,2012,38.65,Residual codes; unclassified; all E codes
1/1/2013,2013,39.11,Residual codes; unclassified; all E codes
1/1/2014,2014,41.84,Residual codes; unclassified; all E codes
1/1/2015,2015*,45.3,Residual codes; unclassified; all E codes
1/1/2016,2016*,50.05,Residual codes; unclassified; all E codes
1/1/2017,2017*,49.83,Residual codes; unclassified; all E codes
1/1/2018,2018*,51.54,Residual codes; unclassified; all E codes
1/1/2019,2019*,54.98,Residual codes; unclassified; all E codes
1/1/2000,2000,13.62,Residual codes; unclassified; all E codes
1/1/2001,2001,162.98,Medical services by provider
1/1/2002,2002,174.18,Medical services by provider
1/1/2003,2003,183.47,Medical services by provider
1/1/2004,2004,195.04,Medical services by provider
1/1/2005,2005,206.84,Medical services by provider
1/1/2006,2006,215.69,Medical services by provider
1/1/2007,2007,230.8,Medical services by provider
1/1/2008,2008,243.33,Medical services by provider
1/1/2009,2009,250.04,Medical services by provider
1/1/2010,2010,259.55,Medical services by provider
1/1/2011,2011,263.71,Medical services by provider
1/1/2012,2012,268.29,Medical services by provider
1/1/2013,2013,271.86,Medical services by provider
1/1/2014,2014,279.56,Medical services by provider
1/1/2015,2015*,289.45,Medical services by provider
1/1/2016,2016*,302.09,Medical services by provider
1/1/2017,2017*,310.02,Medical services by provider
1/1/2018,2018*,321.03,Medical services by provider
1/1/2019,2019*,333.93,Medical services by provider
1/1/2000,2000,151.48,Medical services by provider
1/1/2001,2001,69.32,Dental services
1/1/2002,2002,75.57,Dental services
1/1/2003,2003,77.82,Dental services
1/1/2004,2004,83.28,Dental services
1/1/2005,2005,87.87,Dental services
1/1/2006,2006,91.5,Dental services
1/1/2007,2007,96.99,Dental services
1/1/2008,2008,101.75,Dental services
1/1/2009,2009,102.05,Dental services
1/1/2010,2010,104.46,Dental services
1/1/2011,2011,105.8,Dental services
1/1/2012,2012,107.16,Dental services
1/1/2013,2013,108.65,Dental services
1/1/2014,2014,111.57,Dental services
1/1/2015,2015*,116.34,Dental services
1/1/2016,2016*,122.57,Dental services
1/1/2017,2017*,127.52,Dental services
1/1/2018,2018*,133.93,Dental services
1/1/2019,2019*,139.7,Dental services
1/1/2000,2000,63.57,Dental services
1/1/2001,2001,93.66,Nursing homes
1/1/2002,2002,98.61,Nursing homes
1/1/2003,2003,105.66,Nursing homes
1/1/2004,2004,111.76,Nursing homes
1/1/2005,2005,118.97,Nursing homes
1/1/2006,2006,124.18,Nursing homes
1/1/2007,2007,133.81,Nursing homes
1/1/2008,2008,141.58,Nursing homes
1/1/2009,2009,147.99,Nursing homes
1/1/2010,2010,155.1,Nursing homes
1/1/2011,2011,157.91,Nursing homes
1/1/2012,2012,161.13,Nursing homes
1/1/2013,2013,163.22,Nursing homes
1/1/2014,2014,168,Nursing homes
1/1/2015,2015*,173.11,Nursing homes
1/1/2016,2016*,179.52,Nursing homes
1/1/2017,2017*,182.51,Nursing homes
1/1/2018,2018*,187.1,Nursing homes
1/1/2019,2019*,194.22,Nursing homes
1/1/2000,2000,87.91,Nursing homes
1/1/2001,2001,60.09,Proprietary and government nursing homes
1/1/2002,2002,63.18,Proprietary and government nursing homes
1/1/2003,2003,67.7,Proprietary and government nursing homes
1/1/2004,2004,71.85,Proprietary and government nursing homes
1/1/2005,2005,75.95,Proprietary and government nursing homes
1/1/2006,2006,79.56,Proprietary and government nursing homes
1/1/2007,2007,86.29,Proprietary and government nursing homes
1/1/2008,2008,92.82,Proprietary and government nursing homes
1/1/2009,2009,96.74,Proprietary and government nursing homes
1/1/2010,2010,102.36,Proprietary and government nursing homes
1/1/2011,2011,104.06,Proprietary and government nursing homes
1/1/2012,2012,106.44,Proprietary and government nursing homes
1/1/2013,2013,108.22,Proprietary and government nursing homes
1/1/2014,2014,112.3,Proprietary and government nursing homes
1/1/2015,2015*,117.06,Proprietary and government nursing homes
1/1/2016,2016*,121.5,Proprietary and government nursing homes
1/1/2017,2017*,123.6,Proprietary and government nursing homes
1/1/2018,2018*,127.81,Proprietary and government nursing homes
1/1/2019,2019*,133.43,Proprietary and government nursing homes
1/1/2000,2000,56.85,Proprietary and government nursing homes
1/1/2001,2001,33.57,Nonprofit nursing homes services to households
1/1/2002,2002,35.44,Nonprofit nursing homes services to households
1/1/2003,2003,37.96,Nonprofit nursing homes services to households
1/1/2004,2004,39.91,Nonprofit nursing homes services to households
1/1/2005,2005,43.02,Nonprofit nursing homes services to households
1/1/2006,2006,44.62,Nonprofit nursing homes services to households
