Company Name,Shares Outstanding,Revenue,Net Income,Operating Expenses,Founded,Industry,Sector,Number of Employees,CEO,Capital Expenditure,Market Capitization,Long-Term Debt,Common Stock Value,Financial Performance,Analyst Forecast,Top News
VMware,420,"12,851","1,820","8,245",NA,Software,Technology,"37,500",Patrick Gelsinger,-386,"50,488","13,598",4,"In 2021, VMware's revenue was $12.85 billion, an increase of 9.21% compared to the previous year's $11.77 billion. Earnings were $1.82 billion, a decrease of -11.56%.","According to 25 analysts, the average rating for VMW stock is ""Buy."" The 12-month stock price forecast is 143.43, which is an increase of 20.18% from the latest price.","VMware (VMW) Q3 Earnings Miss Estimates, Revenues Rise Y/Y VMware (VMW) Misses Q3 Earnings and Revenue Estimates VMware Reports Fiscal Year 2023 Third Quarter Results Broadcom's proposed $61B VMware acquisition scrutinized by UK regulators Broadcom's $61 bln acquisition Of VMware on UK regulator radar Top Wall Street analysts like these stocks amid the macro uncertainty VMware Enables Customers to Shift from Cloud Chaos to Cloud Smart with Multi-Cloud Offerings HPE and VMware Advance Partnership to Drive Digital Transformation with Integrated Hybrid Cloud Experience Equinix and VMware to Expand Global Cloud Services Offerings VMware and Equinix partner to bring data to the edge for metro or branch processing VMware Accelerates Innovation and Digital Transformation in Sovereign Clouds with New Sovereign-Ready Solutions VMware Extends SD-WAN Leadership with Innovations Enabling Enterprises to Connect and Secure the Distributed, Multi-C... VMware Unveils VMware Carbon Black XDR to Help Enterprises Strengthen Lateral Security VMware Helps Platform Teams Get Cloud Smart with New Cloud Native App Modernization and Cloud Management Capabilities VMware Unveils New Anywhere Workspace Updates Designed to Lower IT Burden, Improve Employee Experience Cybersecurity Stocks To Watch As Wall Street Eyes 2023 Corporate Budgets Options Announces VMware Cloud Verified Status in TR2 Broadcom banking on early EU approval of $61 bln VMware deal -sources Forget Negativity; 3 Inspiring Acquisitions in 2022 Calculating the Odds on Broadcom's VMWare Takeover"
Atlassian,253,"2,802.88",-614.12,"2,443.63",2002,Software,Technology,"9,800",NA,-70.58,"18,460","1,273.85","2,182.54","In 2022, Atlassian's revenue was $2.80 billion, an increase of 34.16% compared to the previous year's $2.09 billion. Losses were -$614.12 million, -11.80% less than in 2021.","According to 31 analysts, the average rating for TEAM stock is ""Buy."" The 12-month stock price forecast is 316.86, which is an increase of 154.51% from the latest price.","2 Growth Stocks With 124% and 192% Upside From Their 52-Week Lows, According to Wall Street 2 Top Growth Stocks With ""No Downside"" to Buy Now, According to Wall Street Why Datadog, MongoDB, and Atlassian Rallied Big Today Beleaguered tech stocks rocket higher after consumer price index shows inflation easing 5 Cheap Stocks Beginning Investors Can Buy Right Now 2 Top Growth Stocks That Could Double Your Money in 2023, According to Wall Street 2 SaaS Stocks Worth Taking Another Look At 1 Reason to Buy Atlassian Stock, and 1 Reason to Sell Atlassian Cuts Its Full-Year Guidance -- Is This a Sell Signal? Atlassian stock tanks amid an earnings miss, reaching 52-week lows Why Block Popped but Appian and Atlassian Dropped on Friday Why Atlassian Shares Collapsed by as Much as 42.6% This Week Atlassian's (TEAM) Q1 Earnings Miss, Revenues Beat Estimates The cloudburst is upon us: Cloud-software stocks suffering worst declines on record Software Stocks Atlassian, Twilio, Cloudflare Take A Beating On Guidance Atlassian and Twilio Show the Downside of SaaS Stocks Atlassian (TEAM) Q1 Earnings Lag Estimates Atlassian Named a Leader in the 2022 Gartner® Magic Quadrant™ for IT Service Management Platforms Atlassian plummets more than 20% on weak earnings report and disappointing forecast Atlassian stock drops 25% after earnings, potentially wiping away more than $10 billion in valuation"
com,"10,120","469,822","33,364","172,599",1994,Internet & Direct Marketing Retail,Technology,"1,544,000",Andy Jassy,"-55,396","960,286","116,395","53,706","In 2021, Amazon.com's revenue was $469.82 billion, an increase of 21.70% compared to the previous year's $386.06 billion. Earnings were $33.36 billion, an increase of 56.41%.","According to 59 analysts, the average rating for AMZN stock is ""Buy."" The 12-month stock price forecast is 147.86, which is an increase of 57.08% from the latest price.","Amazon to shut down online learning academy in India Amazon to shut down its online learning platform in India Going Viral: Amazon's Movie Theater Push Amazon Can't Get Peloton Back in the Black Amazon plans to pour $1 billion annually on theater movies Movie theater stocks pop after report says Amazon plans to spend $1 billion on releases Amazon to invest $1 billion yearly to produce movies for theaters As Amazon Stock Falls, E-Commerce Is Set for a Comeback Amazon Negates This Bearish Trend As Black Friday, Cyber Monday Approach: What's Going On? - Amazon.com (NASDAQ:AMZN) Jim Cramer says these 10 tech and software stocks can make a comeback There's more pain ahead for tech, warns Bernstein's Dan Suzuki Amazon Alexa on track to lose $10 billion this year, described as 'colossal failure' in new report Stanley Druckenmiller Buys the Dip on Amazon, Slashes Microsoft Amazon to begin locking out some laid-off employees on Wednesday Yes, Gap's Amazon Deal Can Be Desperate And Smart At The Same Time Amazon launches second cloud region in India, pledges $4.4 billion investment NYC judge demands Amazon stop firing workers for organizing Tech Watchdog Demands U.K. Antitrust Investigation Of Amazon's iRobot Buyout Duke Energy Enters Into Amazon Cloud Deal Nasdaq Drops Over 100 Points, But Market Volatility Decreases - Apple (NASDAQ:AAPL), Amazon.com (NASDAQ:AMZN)"
Apple,"16,216","394,328","99,803","51,345",1977,"Technology Hardware, Storage & Peripherals",Technology,"164,000",Timothy Cook,"-10,708","2,403,237","98,959","64,849","In 2022, Apple's revenue was $394.33 billion, an increase of 7.79% compared to the previous year's $365.82 billion. Earnings were $99.80 billion, an increase of 5.41%.","According to 50 analysts, the average rating for AAPL stock is ""Buy."" The 12-month stock price forecast is 184.68, which is an increase of 22.25% from the latest price.","Apple Says It Is Trying to Resolve Problems at Foxconn's iPhone Factory Dow Stock News: Apple Eyes Manchester United? FTC Seen Challenging Microsoft-Activision Deal Apple interested in buying Manchester United: report Apple Addresses Worker Complaints After Unrest at China iPhone Factory Larger protests under control at Foxconn's major iPhone factory in China - source What the China protests mean for Apple This award-winning editor says Bob Iger could sell Disney to Apple Inc South Korean financial regulator confirms it is reviewing Apple Pay service for launch Apple: Violent protests erupt at iPhone factory in China over COVID restrictions, work conditions Stocks With China Exposure Are Rising With Reopening Hopes Apple iPhone 14 Pro Supply Issues In Focus After Factory Protests Wedbush reiterates bullish rating on Apple stock, citing holiday iPhone demand Apple iPhone wait times have doubled to after Christmas, UBS says Apple Set for Black Friday iPhone Shortages, Analyst Says. Forget Happy Holidays. Apple Shares Dip In Premarket Amid Covid Protest At China's Biggest iPhone Factory UK Probes Apple and Google's 'Stranglehold' Over Mobile Browsing Jim Cramer says these 10 tech and software stocks can make a comeback There's more pain ahead for tech, warns Bernstein's Dan Suzuki UK probes Apple, Google over cloud gaming, browsers Apple's Pro iPhones will be harder to find in stores this holiday -Best Buy"
Broadcom,410,"27,450","6,736","8,325",NA,Semiconductors & Semiconductor Equipment,Technology,"20,000",Hock Tan,-439,"216,128","39,440","24,330","In 2021, Broadcom's revenue was $27.45 billion, an increase of 14.91% compared to the previous year's $23.89 billion. Earnings were $6.74 billion, an increase of 127.57%.","According to 31 analysts, the average rating for AVGO stock is ""Buy."" The 12-month stock price forecast is 657.69, which is an increase of 23.25% from the latest price.","4 dividend growth stocks to buy with a 5-year dividend growth rate of 15% Broadcom Inc. (AVGO) is Attracting Investor Attention: Here is What You Should Know Broadcom's proposed $61B VMware acquisition scrutinized by UK regulators Broadcom's $61 bln acquisition Of VMware on UK regulator radar 3 Bargain Stocks You Can Buy Today and Hold Forever 3 Stocks Seeing Insider Activity in 2022 7 Semiconductor Stocks to Buy and Hold Forever Chip Production Lead Times Shrink As Cyclical Downturn Takes Shape Broadcom Inc. (AVGO) Is a Trending Stock: Facts to Know Before Betting on It Quality and high dividends set these five semiconductor stocks apart from poorer-performing competitors Broadcom Inc. to Announce Fourth Quarter and Fiscal Year 2022 Financial Results on Thursday, December 8, 2022 Semiconductor Companies Now Face an Oversupply. What Happened? Semiconductor Stocks: Which Companies Make The World's Critical Components? Nasdaq Bear Market: 5 Awe-Inspiring Growth Stocks You'll Regret Not Buying on the Dip Get Ready To Buy Stocks Again This Month (Including These 11) 7 Cash-Rich Dividend Stocks to Buy Now Digital Divide: Can Federal Funding For Rural Broadband Narrow The Gap? 9 Pounded Big-Cap Nasdaq Stocks Can Still Make You Money SK Hynix adds to evidence that the chip glut is here to stay for a while Investors Heavily Search Broadcom Inc. (AVGO): Here is What You Need to Know"
Adobe,477,"15,785","4,822","8,118",1982,Software,Technology,"25,988",Shantanu Narayen,-348,"156,104","4,576","-8,971","In 2021, Adobe's revenue was $15.79 billion, an increase of 22.67% compared to the previous year's $12.87 billion. Earnings were $4.82 billion, a decrease of -8.33%.","According to 41 analysts, the average rating for ADBE stock is ""Buy."" The 12-month stock price forecast is 376.14, which is an increase of 12.02% from the latest price.","Adobe Challenger Bets Economic Downturn Will Propel Sales My Take: 4 Strong Growth Stocks to Buy This Week Jim Cramer says these 10 tech and software stocks can make a comeback 2 Beaten-Down Stocks That Could Recover in 2023 Investors Heavily Search Adobe Inc. (ADBE): Here is What You Need to Know 2 Top Software Stocks to Buy for the Long Haul Stock Split Watch: Is Adobe Next? 3 Stocks That Could Turn $20,000 Into $100,000 by 2030 2 Leading Tech Stocks to Buy in 2022 and Beyond Final Trades: Adobe, Home Depot, TJX & more 7 Cheap Tech Stocks to Buy Before the Next Breakout 7 Tech Stocks to Buy at a Multi-Year Discount 3 Stocks to Buy While They're on Sale 2 Top Bargain Stocks Ready for a Bull Run Adobe Inc. (ADBE) is Attracting Investor Attention: Here is What You Should Know 3 Top Tech Stocks to Buy Right Now 3 Top Buys for November Chantico Global CEO Gina Sanchez offers 3 buys and a bail: AMZN, MSFT, ADBE & DOCU Why Adobe Rose 15.7% in October Justice Department is prepping probe of Adobe's $20 billion acquisition of Figma: report"
Nokia,"5,654","22,202","1,623","6,676",1865,Communications Equipment,Technology,"87,927",Pekka Lundmark,-457,"26,817","5,361","20,293",NA,"According to 34 analysts, the average rating for NOK stock is ""Buy."" The 12-month stock price forecast is 5.94, which is an increase of 24.01% from the latest price.","Nokia completes first phase of share buyback program Nokia Corporation: Repurchase of own shares on 11.11.2022 Nokia Corporation - Managers' transactions (Martikainen) Nokia Corporation: Repurchase of own shares on 10.11.2022 Nokia Corporation: Repurchase of own shares on 09.11.2022 Nokia Corporation: Repurchase of own shares on 08.11.2022 Nokia Corporation: Repurchase of own shares on 07.11.2022 Nokia Corporation: Repurchase of own shares on 04.11.2022 Nokia Corporation: Repurchase of own shares on 03.11.2022 Nokia Corporation: Repurchase of own shares on 02.11.2022 Nokia Corporation: Repurchase of own shares on 01.11.2022 Nokia takes ESG strategy to next level of impact Nokia Corporation: Repurchase of own shares on 28.10.2022 Nokia Corporation: Repurchase of own shares on 27.10.2022 Nokia Corporation: Repurchase of own shares on 26.10.2022 Nokia optical transport selected by State Grid Corporation of China, bringing massive scale, security and agility to ... Nokia Corporation: Repurchase of own shares on 25.10.2022 Nokia Corporation - Managers' transactions (Corker) Nokia Corporation - Managers' transactions (Uitto) Nokia Corporation: Repurchase of own shares on 24.10.2022"
Dell Technologies,764,"101,197","5,563","17,232",1984,"Technology Hardware, Storage & Peripherals",Technology,"133,000",Michael Dell,"-2,796","11,560","21,131","6,934","In 2021, DELL's revenue was $101.20 billion, an increase of 16.76% compared to the previous year's $86.67 billion. Earnings were $5.56 billion, an increase of 71.17%.","According to 26 analysts, the average rating for DELL stock is ""Buy."" The 12-month stock price forecast is 55.74, which is an increase of 24.95% from the latest price.","Dell Technologies to Present at Investor Conferences in November and December DELL Q3 Earnings Beat Estimates, Lower PC Sales Hurt Revenues Dell beats on earnings but issues cautious guidance Dell Technologies (DELL) Q3 Earnings and Revenues Top Estimates These 2 Stocks Made Investors Happy After Hours Monday Dell stock surges more than 5% after earnings beat Dell Tops Third-Quarter Views On Growth In Servers, Storage Dell quarterly profit jumps on higher server demand, lower costs Dell Technologies Announces Third Quarter Fiscal 2023 Financial Results The PC boom has gone bust, and we are about to see the results ahead of Black Friday Dell Technologies (DELL) to Post Q3 Earnings: What's in Store? Dell Technologies Strengthens Cyber Resiliency with Multicloud Data Protection and Security Innovations Dell reaches $1 billion lawsuit settlement Dell Technologies to pay $1 billion settlement in suit stemming from 2018 Class V stock deal Earnings Preview: Dell Technologies (DELL) Q3 Earnings Expected to Decline Dell Technologies Advances High Performance Computing and AI with Dell PowerEdge Servers and Dell APEX Innovation Dell Technologies Stock Could Keep Disappointing Can the PC Market Bounce Back From Its Recent Lows? Dell Technologies to Hold Conference Call November 21 to Discuss Third Quarter Fiscal 2023 Financial Results Australian competition watchdog start proceedings against Dell's local unit"
Autodesk,220,"4,386.40",497,"3,350.30",1982,Software,Technology,"12,600",Andrew Anagnost,-66.5,"42,539","2,624","2,923","In 2021, Autodesk's revenue was $4.39 billion, an increase of 15.72% compared to the previous year's $3.79 billion. Earnings were $497.00 million, a decrease of -58.86%.","According to 30 analysts, the average rating for ADSK stock is ""Buy."" The 12-month stock price forecast is 257.04, which is an increase of 30.43% from the latest price.","Autodesk withholding guidance due to ‘unprecedented' FX environment, CEO says Autodesk (ADSK) Q3 Earnings and Revenues Meet Estimates Down 30% From Their Highs, Can These 2 Tech Stocks Bounce Back? Autodesk to Present at Upcoming Investor Conferences Autodesk (ADSK) Q3 Earnings Match Estimates Stocks to watch in after hours: Nordstrom, HP, Guess, Autodesk Autodesk trims billings forecast, citing a more cautious software customer Autodesk Meets Third-Quarter Expectations But Misses With Outlook AUTODESK, INC. ANNOUNCES FISCAL 2023 THIRD QUARTER RESULTS 2 Growth Stocks to Buy Before a Big Rally Steve Mandel Is Loading Up on These Undervalued Tech Stocks Deere Stock, Analog Devices Hold Gains Amid Bullish Earnings Prospects; Baidu, Autodesk Also Set To Report Nasdaq Bear Market: 2 Stocks I'm Buying During a Recession 7 No-Brainer Metaverse Stocks to Buy for 2023 and Beyond 4 Solid Stocks to Watch on a Booming Metaverse Space Autodesk Extends Invitation to Join Financial Results Conference Call 7 Software Stock Predictions for 2023 $5,000 Invested in These 2 Tech Stocks Could Turn Into $50,000 This Decade Have $1,000? These 2 Stocks Could Be Bargain Buys for 2022 and Beyond 5 Stocks to Gain From the Flourishing Metaverse Space"
Shopify,"1,247","4,611.86","2,914.66","2,212.50",2004,IT Services,Technology,"10,000",Tobias Lutke,-50.79,"43,760","1,157.74","8,201.17","In 2021, Shopify's revenue was $4.61 billion, an increase of 57.43% compared to the previous year's $2.93 billion. Earnings were $2.91 billion, an increase of 812.23%.","According to 50 analysts, the average rating for SHOP stock is ""Buy."" The 12-month stock price forecast is 41.57, which is an increase of 13.05% from the latest price.","7 Deeply Undervalued Stocks That Can Make You a Millionaire by 2025 Got $5,000? These 3 Growth Stocks Are Trading Near Their 52-Week Lows 3 Cyclical Stocks to Lead the Market Into the New Year 5 Struggling Stocks to Buy at a Discount 2 E-Commerce Stocks You Can Buy and Hold for the Next Decade Al Gore's Firm Dumps Intel Stock. It Also Sold Shopify and Microsoft. 3 Top Stocks to Buy Before the New Year Got $1,000? 2 Top Growth Stocks to Buy That Could Double Your Money Is Shopify's Business in Trouble? Cathie Wood Expects Shopify to Be 'Spectacular' Stock Why Buying Shopify Stock Now Could Be a Genius Move This Growth Stock Is a Once-in-a-Generation Buying Opportunity in a Bear Market Best Stocks To Invest In: November 2022 2 Stocks That Could Outperform the Next Bull Market If I Were You, I'd Buy These 3 Stocks Before They Skyrocket 5 Stocks That Could Be the Next Trillion-Dollar Companies Why Shopify, Snowflake, and Palantir Stocks All Rallied Early Tuesday Investors Heavily Search Shopify Inc. (SHOP): Here is What You Need to Know The Best Stocks to Buy With $500 Right Now 4 Growth Stocks to Watch Right Now"
Duke Energy,769,"25,097","3,908","5,333",NA,Electric Utilities,Energy,"27,605",Lynn Good,"-9,715","75,882","61,522","46,334","In 2021, Duke Energy's revenue was $25.10 billion, an increase of 5.15% compared to the previous year's $23.87 billion. Earnings were $3.91 billion, an increase of 183.81%.","According to 24 analysts, the average rating for DUK stock is ""Buy."" The 12-month stock price forecast is 107.04, which is an increase of 8.63% from the latest price.","Duke Energy (DUK) Announces Acquisition of Wildflower Solar Duke Energy Corporation (DUK) Is a Trending Stock: Facts to Know Before Betting on It Duke Energy Enters Into Amazon Cloud Deal Duke Energy Sustainable Solutions enters Mississippi with acquisition of 100-MW Wildflower Solar from Clearway Energy... 7 Utility Stocks to Buy Heading Into December 2022 Honoring Florida's veterans: Duke Energy joins forces with statewide organizations to provide $235,000 in support for... Duke Energy collaborates with AWS to develop smart grid solutions to better serve customers and drive its clean energ... Duke Energy provides aid for customers, communities with nearly $100,000 in grants to support basic needs Duke Energy provides $34,000 in grants to support Hoosier veterans and active-duty service members Wendy's Central Florida Restaurants Now Sourcing Renewable Energy from Florida Power Grid Duke Energy Collaborates with North American Utilities on Protecting Customers from Scams How I'd Invest $10,000 Today -- Including Real Estate -- if I Had to Start From Scratch Utilities Earnings Mixed in Q3: ETFs in Focus Duke Energy Florida makes rapid progress; restores 98% of its customers 12 hours after Nicole exited the state Duke Energy Florida aims to wrap up restoration for customers by Friday night Duke Energy crews assess damage, restore power for thousands of customers across Florida UNC Charlotte, City of Charlotte, Centralina Regional Council, Duke Energy win prestigious Diversity, Equity and Incl... Duke Energy urges customers in the Carolinas to prepare for potential impacts from Nicole Duke Energy urges customers to stay safe as Tropical Storm Nicole moves through Florida Duke Energy to install microgrid at Camp Lejeune"
DTE Energy Company,193,"14,964",907,"1,841",1903,Multi-Utilities,Energy,"10,400",Gerardo Norcia,"-3,769","22,182","14,605","5,379","In 2021, DTE's revenue was $14.96 billion, an increase of 31.00% compared to the previous year's $11.42 billion. Earnings were $907.00 million, a decrease of -33.70%.","According to 22 analysts, the average rating for DTE stock is ""Buy."" The 12-month stock price forecast is 127.43, which is an increase of 11.30% from the latest price.","DTE Energy annual sustainability report highlights company efforts toward a clean energy future DTE Energy names Andy Coulouris to vice president, Corporate and Government Affairs DTE Energy issues dividend DTE Energy Foundation provides $1.26 million in grants to support economic progress and community transformation in M... DTE Energy proposes transformational investment in Michigan-made renewable energy and accelerates emission reductions DTE Energy (DTE) Q3 Earnings Surpass Estimates, Decline Y/Y DTE Energy reports strong third quarter 2022 results What's in the Cards for DTE Energy (DTE) in Q3 Earnings? DTE Energy (DTE) Adds 7-Eleven to Its MIGreenPower Program Earnings Preview: DTE Energy (DTE) Q3 Earnings Expected to Decline 7-Eleven signs 20-year clean energy agreement in Michigan through DTE Energy's MIGreenPower program DTE Energy schedules third quarter 2022 earnings release, conference call Here's Why DTE Energy (DTE) is Poised for a Turnaround After Losing 21.8% in 4 Weeks EBR or DTE: Which Is the Better Value Stock Right Now? The 7 Best Meme Stocks to Buy Now 3 Dividend-Paying Electric Power Stocks for Steady Income The 7 Best Utility Stocks to Buy Now A Pair of Undervalued Stocks Crushing the S&P 500 Index More than 250,000 DTE Energy in Michigan without power after storms DTE Energy donates $10 million to non-profits for energy assistance"
Shell,"7,807","272,657","20,101","13,566",1907,"Oil, Gas & Consumable Fuels",Energy,"82,000",Ben van Beurden,"-4,767","201,045","80,868","18,940",NA,"According to 28 analysts, the average rating for SHEL stock is ""Buy."" The 12-month stock price forecast is 72.98, which is an increase of 28.42% from the latest price.","Transaction in Own Shares Transaction in Own Shares Shell plc - Director Declaration 3 Hydrogen Stocks to Buy Before the Market Starts to Soar in 2023 Shell to 'evaluate' 25 bln pound British investments after windfall tax Director Declaration - SHELL PLC A Safe Harbor in Energy Is Now the Time to Buy Oil Stocks? Global Bioenergies agrees collaboration with Shell in the development of low carbon road fuels 2 Energy Stocks You Can Buy Right Now to Play the EV Boom Inflation Is Falling; Here's What That Means for Investors Publication of Prospectus Supplement Director Declaration SHEL vs. FUPBY: Which Stock Is the Better Value Option? Exxon and Other Oil Stocks Are Already Winning the Election 7 No-Brainer Energy Stocks to Buy for 2023 and Beyond Nigerian widows end their case in the Netherlands against Shell Goldman downgrades Shell over ‘relatively expensive' valuation versus competitors TotalEnergies leads Shell, BP in renewables race, but shares sag Shell to jointly study East China carbon project with Sinopec, Baowu and BASF"
Exxon Mobil,"4,234","285,640","23,040","32,021",1870,"Oil, Gas & Consumable Fuels",Energy,"63,000",Darren Woods,"-12,076","467,879","43,428","-209,718",NA,"According to 32 analysts, the average rating for XOM stock is ""Buy."" The 12-month stock price forecast is 113.1, which is a decrease of -0.45% from the latest price.","Fed minutes indicate smaller rate hikes ahead: time to buy? 3 Reasons Why Growth Investors Shouldn't Overlook Exxon (XOM) Top Investors Reveal 7 High-Dividend Stocks You Should Own 3 Top Energy Stocks to Buy Right Now Buy These 5 Corporate Giants Flying High in Disappointing 2022 Why Kinder Morgan, ExxonMobil, and Chevron Stocks Are Diving Today Oil Prices Are Still High and These 3 Stocks Love It U.S. oil giants Exxon Mobil, Chevron and ConocoPhillips challenged over ‘secretive' tax practices The 3 Best Oil Dividend Stocks to Buy in 2023 The big new Exxon Mobil climate change deal that got an assist from Joe Biden Oil Profits Are Soaring: Here's How to Get Your Share 7 Stocks to Buy to Profit from the Political Uncertainty As Oil Prices Fall, ExxonMobil Holds Up: 'It May Be Time To Ring The Register' - Exxon Mobil (NYSE:XOM) These S&P 500 Companies Generate Substantial Cash 7 Stocks to Buy as Republicans Recapture the House Why ExxonMobil, Chevron, and Diamondback Stocks All Dropped on Friday ExxonMobil And Other Energy Stocks Traders Are Actively Selling Red-Hot Manager Forecasts Volatile 2023: His Stock Picks Tesla Fame's Robot-Run ETF Is Now Betting Big On These Oil Stocks - Chevron (NYSE:CVX), Exxon Mobil (NYSE:XOM) Is Now the Time to Buy Oil Stocks?"
BP plc,"20,264","164,195","7,565","26,039",1889,"Oil, Gas & Consumable Fuels",Energy,"65,900",Robert Dudley,"-9,742","106,283","62,483","75,463",NA,"According to 33 analysts, the average rating for BP stock is ""Buy."" The 12-month stock price forecast is 38.5, which is an increase of 10.06% from the latest price.","Here is What to Know Beyond Why BP p.l.c. (BP) is a Trending Stock BP share price forecast as crude oil retreats BP Rises 3.4% Since Q3 Earnings Beat, Increases Share Buybacks 5 Stocks With Upgraded Broker Ratings to Fight Macro Challenges BP Stock Up 11% Over Last Month. What's Next? Workers at BP refinery will not help with restart unless wage demands met -union A Safe Harbor in Energy BP share price is a bargain and a good green buy – Barrons ARCHAEA ENERGY INVESTOR ALERT BY THE FORMER ATTORNEY GENERAL OF LOUISIANA: Kahn Swick & Foti, LLC Investigates Adequa... Should Value Investors Buy BP (BP) Stock? How I'd Invest $10,000 Today -- Including Real Estate -- if I Had to Start From Scratch Inflation Is Falling; Here's What That Means for Investors Is Trending Stock BP p.l.c. (BP) a Buy Now? BP p.l.c. (BP) Hit a 52 Week High, Can the Run Continue? TotalEnergies leads Shell, BP in renewables race, but shares sag Oil producers need to put their profits into production, says former Rep. Donna Edwards Rosneft says BP should return to Russia, promises dividend Oil and Gas Profits Are an Easy Political Target Biden wants Big Oil to reduce the historic margins their charging, says White House economist Calls for extension of windfall tax as BP posts ‘eye-watering' profits"
Hess Corporation,307,"7,583",559,"2,177",1920,"Oil, Gas & Consumable Fuels",Energy,"1,545",John Hess,"-1,747","44,674","8,535","6,327",NA,"According to 29 analysts, the average rating for HES stock is ""Buy."" The 12-month stock price forecast is 147.3, which is an increase of 1.66% from the latest price.","Red-Hot Manager Forecasts Volatile 2023: His Stock Picks EIA Oil Supply Data Headlines: Crude Stocks Down, Fuel Up Hess CEO says OPEC 'back in the driver's seat' as U.S. shale growth slows Hess Completes Sale of Interests in Libya Hess to Participate in Bank of America Securities 2022 Global Energy Conference Energy remains the only sector consistently growing its cash-flow, says Castleark's Castellini Hess (HES) Q3 Earnings Top Estimates, Production Outlook Rises Hess (HES) Q3 Earnings and Revenues Surpass Estimates New Strong Sell Stocks for October 26th Hess Reports Estimated Results for the Third Quarter of 2022 Hess Announces Two More Discoveries Offshore Guyana Energy Companies Stage Breakout Despite Lower Oil Prices What's in the Offing for Hess Corp's (HES) Q3 Earnings? Hess (HES) Earnings Expected to Grow: What to Know Ahead of Next Week's Release Final Trades: CVS, Hess, Dollar Tree & more PGIM Fund Outperforms With Inflation Fighting Focus The U.S. should not have to rely on OPEC for energy, says former Sen. Judd Gregg Hess Schedules Earnings Release Conference Call 4 Integrated US Stocks to Gain as Oil Price Remains High Oil Reclaims $80 After EIA Reports Supply Draw on All Fronts"
Marathon Oil,787,"5,467",946,"2,898",1887,"Oil, Gas & Consumable Fuels",Energy,"1,531",Lee M. Tillman,"-1,046","19,465","3,978","3,333",NA,"According to 30 analysts, the average rating for MRO stock is ""Buy."" The 12-month stock price forecast is 32.85, which is an increase of 7.18% from the latest price.","3 Dividend Stocks With Supercharged Growth Potential Even at $80 Oil, These Oil Stocks Are Still Ridiculously Cheap 3 High-Growth Stocks With Multibagger Potential by 2025 EIA Oil Supply Data Headlines: Crude Stocks Down, Fuel Up Inflation Has Meant Good Times For These Five Companies Marathon (MRO) Moves Up Since Q3 Earnings Beat: Here's Why Marathon Oil (MRO) to Acquire Eagle Ford Assets in $3B Deal Why Marathon Oil Stock Is An S&P 500 Favorite Today - Marathon Oil (NYSE:MRO) Marathon Oil (MRO) Tops Q3 Earnings and Revenue Estimates Ensign Natural Resources Announces Sale to Marathon Oil Marathon Oil to buy Ensign's Eagle Ford assets for $3 bln Marathon Oil Announces Eagle Ford Acquisition Marathon Oil Reports Third Quarter 2022 Results 7 Cheap Large-Cap Stocks to Buy Before They Surge Higher Mark McCollum and Shawn Williams Elected to Marathon Oil Corporation Board of Directors 7 Breakout Stocks to Buy That Are ‘Immune' to Volatility Marathon (MRO) to Report Q3 Earnings: What's in Store? 2 Scary Stocks Marathon Oil Corporation Declares Third Quarter 2022 Dividend Marathon Oil (MRO) Reports Next Week: Wall Street Expects Earnings Growth"
Ecopetrol,"41,117","91,881,204","15,649,143","6,601,721",1948,"Oil, Gas & Consumable Fuels",Energy,"18,378",Felipe Bayon Pardo,"-12,832,630","21,072","85,854,645","42,271,995","In 2021, Ecopetrol's revenue was 91.88 trillion, an increase of 82.95% compared to the previous year's 50.22 trillion. Earnings were 15.65 trillion, an increase of 886.28%.","According to 13 analysts, the average rating for EC stock is ""Buy."" The 12-month stock price forecast is 35.26, which is an increase of 244.00% from the latest price.","Fitch Ratings maintains Ecopetrol S.A.'s rating at BB+, with a stable outlook Ecopetrol announces the creation of Ecopetrol US Trading LLC, a new subsidiary that will join its Business Group Ecopetrol announces the publication date of its third-quarter earnings report and conference calls Decisions of Ecopetrol S.A.'s Board of Directors Ecopetrol's Board of Directors Appointment Ecopetrol announces nomination of candidate to its Board of Directors Minority Shareholders nominate candidate to Ecopetrol's Board of Directors Ecopetrol publishes measures to guarantee the adequate representation of its Shareholders at the extraordinary Genera... Best Growth Stocks to Buy for October 6th Best Value Stocks to Buy for October 4th New Strong Buy Stocks for October 4th Ecopetrol made a disbursement of a USD 1.2 billion credit facility for the early prepayment of the loan entered into ... Ecopetrol Group presents its second specialized report on climate change management following the recommendations of ... Moody's affirms Ecopetrol's investment grade ratings and outlook and downgrades its BCA Ecopetrol S.A. enters into an electric energy commercialization agreement with Gecelca S.A. Drilling of ultra-deep-water Gorgon-2 well confirms the extension of the gas province in the Colombian Caribbean Ecopetrol Group Announces Second Quarter 2022 Results Ecopetrol announces deepwater gas discovery in Colombia Ecopetrol announces the publication date of its second-quarter earnings report and conference calls Ecopetrol informs the resignation of Vice President of Corporate Affairs and Secretary General"
